start_tc,end_tc,start_s,end_s,track_index,display_name,material_name,resolved_filename,source_class,speed,volume,extra_refs,material_id
0:00.000,0:01.933,0.0,1.933,17,Digital Device Gadget Scanning Programming Sound2,Digital Device Gadget Scanning Programming Sound2,,capcut_stock,1.0,0.33987903594970703,speeds:speed | audio_fades:audio_fade,C1353F99-0D07-4E53-B8AA-C0E95BC4674B
0:00.900,0:08.600,0.9,8.6,16,v6_narration.mp3,v6_narration.mp3,v6_narration.mp3,staged_audio,1.01,1.0,speeds:speed,9DDA24A2-07B7-4B62-9049-21E884BF92C0
0:01.933,0:16.367,1.933,16.367,19,music_drama.mp3,music_drama.mp3,music_drama.mp3,staged_audio,1.0,0.21411876380443573,speeds:speed,DDB9B92B-B435-467A-BBCC-6C3763BE30C3
0:09.133,1:28.233,9.133,88.233,16,v6_narration.mp3,v6_narration.mp3,v6_narration.mp3,staged_audio,1.01,0.6582304239273071,speeds:speed,507D0417-9226-4069-850E-C08FE6FD4507
0:09.267,0:11.167,9.267,11.167,13,Glitching Signal Glitch Futuristic Effect 2,Glitching Signal Glitch Futuristic Effect 2,,capcut_stock,1.0,0.1822071671485901,speeds:speed,D594992D-895F-4DB6-AA73-DEC76E037482
0:10.233,0:18.200,10.233,18.2,17,Cinematic Whoosh Hit Low 2,Cinematic Whoosh Hit Low 2,,capcut_stock,1.0,0.509760320186615,speeds:speed,83599EBF-C93F-4EE6-B8D4-6EDE31D41C46
0:14.300,0:17.533,14.3,17.533,20,Horror Trailer Opener,Horror Trailer Opener,,capcut_stock,1.0,0.17043063044548035,speeds:speed,1A2A71C5-1947-49A8-A071-23B6081B8CC1
0:14.833,0:16.733,14.833,16.733,15,Glitching Signal Glitch Futuristic Effect 2,Glitching Signal Glitch Futuristic Effect 2,,capcut_stock,1.0,0.1822071671485901,speeds:speed,A0DE4C92-9FC9-422F-A31E-3DAC2F80E011
0:16.367,0:29.667,16.367,29.667,19,music_drama.mp3,music_drama.mp3,music_drama.mp3,staged_audio,1.0,0.15737994015216827,speeds:speed,2CD336A3-5EF1-475F-AD49-FAEDBF40A710
0:17.900,0:20.467,17.9,20.467,13,Digital Device Gadget Scanning Programming Sound2,Digital Device Gadget Scanning Programming Sound2,,capcut_stock,1.0,0.23848186433315277,speeds:speed | audio_fades:audio_fade,1C240FD7-DB25-467B-957F-C309E196E882
0:21.900,0:23.733,21.9,23.733,20,Horror Trailer Opener,Horror Trailer Opener,,capcut_stock,1.0,0.17043063044548035,speeds:speed,9ED63837-C7B5-467B-9090-944E6731F6D2
0:26.167,0:29.433,26.167,29.433,20,Horror Trailer Opener,Horror Trailer Opener,,capcut_stock,1.0,0.17043063044548035,speeds:speed,7BDC1C9E-33C7-4712-9FE7-0466E323A482
0:29.667,0:54.500,29.667,54.5,19,music_drama.mp3,music_drama.mp3,music_drama.mp3,staged_audio,1.0,0.06198146566748619,speeds:speed,30EEA3B0-1827-4C61-AE04-C077A45A67A6
0:32.700,0:40.667,32.7,40.667,13,Cinematic Whoosh Hit Low 2,Cinematic Whoosh Hit Low 2,,capcut_stock,1.0,0.509760320186615,speeds:speed,00BEE4D2-AF4C-44DB-8E6C-D8FAB561E3FF
0:34.600,0:36.433,34.6,36.433,17,Short Whoosh 4,Short Whoosh 4,,capcut_stock,1.0,0.23088349401950836,speeds:speed,ED672B11-BC28-4867-88F1-FC7538823238
0:37.300,0:39.133,37.3,39.133,17,Short Whoosh 4,Short Whoosh 4,,capcut_stock,1.0,0.23088349401950836,speeds:speed,B4583BCC-C174-407B-83DF-1BC5028A74BF
0:41.167,0:43.000,41.167,43.0,17,Short Whoosh 4,Short Whoosh 4,,capcut_stock,1.0,0.23088349401950836,speeds:speed,8DBE28A8-EA43-467A-8B80-8A77326565A0
0:44.033,0:45.867,44.033,45.867,17,Short Whoosh 4,Short Whoosh 4,,capcut_stock,1.0,0.23088349401950836,speeds:speed,45B9FA13-8936-4BEB-AAC0-782A0E133F80
0:48.667,0:50.500,48.667,50.5,14,Short Whoosh 4,Short Whoosh 4,,capcut_stock,1.0,0.23088349401950836,speeds:speed,09930143-26C1-4A20-AD10-319B7EDBB503
0:49.833,0:52.400,49.833,52.4,13,Digital Device Gadget Scanning Programming Sound2,Digital Device Gadget Scanning Programming Sound2,,capcut_stock,1.0,0.23848186433315277,speeds:speed | audio_fades:audio_fade,1220FE01-7922-4E83-B6DA-E3A0B2ED6CB6
0:54.500,1:10.367,54.5,70.367,19,music_drama.mp3,music_drama.mp3,music_drama.mp3,staged_audio,1.0,0.19456399977207184,speeds:speed,C059BD05-E77F-43CE-8871-A60026AFC3E4
0:56.700,0:58.733,56.7,58.733,17,Digital Device Gadget Scanning Programming Sound2,Digital Device Gadget Scanning Programming Sound2,,capcut_stock,1.0,0.44128307700157166,speeds:speed | audio_fades:audio_fade,B7D3F969-3728-4A42-AC45-47DCC211365F
1:03.133,1:05.433,63.133,65.433,17,Digital Device Gadget Scanning Programming Sound2,Digital Device Gadget Scanning Programming Sound2,,capcut_stock,1.0,0.2556167542934418,speeds:speed | audio_fades:audio_fade,00627E3F-7EA9-45A0-9AA9-F97DB85663F1
1:10.367,1:26.233,70.367,86.233,19,music_drama.mp3,music_drama.mp3,music_drama.mp3,staged_audio,1.0,0.19456399977207184,speeds:speed,3E90D3C4-805B-4A29-9884-5DC44DA6A6CF
1:11.800,1:13.267,71.8,73.267,13,Digital Device Gadget Scanning Programming Sound2,Digital Device Gadget Scanning Programming Sound2,,capcut_stock,1.0,0.23848186433315277,speeds:speed | audio_fades:audio_fade,AE3882D9-F0C1-4299-8927-F100228B6385
1:15.167,1:16.633,75.167,76.633,13,Digital Device Gadget Scanning Programming Sound2,Digital Device Gadget Scanning Programming Sound2,,capcut_stock,1.0,0.23848186433315277,speeds:speed | audio_fades:audio_fade,460511D3-06C2-45F3-9753-B4B4A7112149
1:18.333,1:20.167,78.333,80.167,17,Horror Trailer Opener,Horror Trailer Opener,,capcut_stock,1.0,0.17043063044548035,speeds:speed,CA094ABD-7793-43D0-8EBE-D149EB00BD1A
1:20.900,1:23.200,80.9,83.2,17,Digital Device Gadget Scanning Programming Sound2,Digital Device Gadget Scanning Programming Sound2,,capcut_stock,1.0,0.2556167542934418,speeds:speed | audio_fades:audio_fade,B80CFF94-F5F3-46F7-B415-C569A7F00359
1:24.567,1:26.400,84.567,86.4,17,Short Whoosh 4,Short Whoosh 4,,capcut_stock,1.0,0.23088349401950836,speeds:speed,CD208E15-D87E-4D74-AF68-F39361F3CD25
1:26.233,1:28.233,86.233,88.233,19,music_drama.mp3,music_drama.mp3,music_drama.mp3,staged_audio,1.0,0.19456399977207184,speeds:speed,9EE5DBC3-373F-43B2-972C-7D1BA98E52E7
