kind,name,display_name,resolved_filename,resolved_origin,basename,source_class,duration_s,width,height,path,id
photo,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,legend,ecf58f0535685422aff9ab6270e5acbb.png,legend_still,10800.0,760,612,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/ecf58f0535685422aff9ab6270e5acbb.png,01072997-B52C-48D1-8F29-9C8198874F8C
photo,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,legend,ecf58f0535685422aff9ab6270e5acbb.png,legend_still,10800.0,760,612,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/ecf58f0535685422aff9ab6270e5acbb.png,D041D824-17C7-4162-9374-4CB013F0A45E
photo,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,legend,ecf58f0535685422aff9ab6270e5acbb.png,legend_still,10800.0,760,612,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/ecf58f0535685422aff9ab6270e5acbb.png,AFC29CEC-2493-4BCA-8FB0-DA6847F66F64
photo,42c86639-8f93-4f97-a541-8cd5baf2fea8.png,ivan_face.png,ivan_face.png,staged_refs,82e6eb3930a2880ce515767d8a25001d.png,staged_kit,10800.0,720,1280,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/82e6eb3930a2880ce515767d8a25001d.png,F5A2F876-3075-44F2-BBB5-8A36BE12C191
photo,BD21D20E-C654-46F0-B35F-317407F4313E.PNG,BD21D20E-C654-46F0-B35F-317407F4313E.PNG,BD21D20E-C654-46F0-B35F-317407F4313E.PNG,legend,d994fc6158a7eccaeeb3f185f40d06dd.PNG,legend_still,10800.0,1536,1024,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/d994fc6158a7eccaeeb3f185f40d06dd.PNG,6CB3BBE8-EF2F-4BFA-A9C0-FF8E93E8B376
video,hf_20260721_213332_a8ad8e8d-3160-41a8-be5c-4578f6ccc2bb.mp4,hf_20260721_213332_a8ad8e8d-3160-41a8-be5c-4578f6ccc2bb.mp4,hf_20260721_213332_a8ad8e8d-3160-41a8-be5c-4578f6ccc2bb.mp4,legend,f97ad19874a376c7be44a65aae57b7c7.mp4,legend_hf,4.067,1176,1764,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/f97ad19874a376c7be44a65aae57b7c7.mp4,964FC8BC-74A5-482B-A529-71ADA3DD64DC
video,hf_20260721_213451_2bc1bd7a-cd39-4d44-b256-5c9a451bd4a3.mp4,hf_20260721_213451_2bc1bd7a-cd39-4d44-b256-5c9a451bd4a3.mp4,hf_20260721_213451_2bc1bd7a-cd39-4d44-b256-5c9a451bd4a3.mp4,legend,ea3fdb80913455db422891d19120fa0b.mp4,legend_hf,4.067,1176,1764,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/ea3fdb80913455db422891d19120fa0b.mp4,3E382E1F-D780-4A17-ACEA-FA4DFC667855
photo,A62E65DB-9C24-48C9-9155-AC75D9BCAB3A.PNG,A62E65DB-9C24-48C9-9155-AC75D9BCAB3A.PNG,A62E65DB-9C24-48C9-9155-AC75D9BCAB3A.PNG,legend,67f86b77fff4127389de018616c2a7a3.PNG,legend_still,10800.0,1024,1536,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/67f86b77fff4127389de018616c2a7a3.PNG,9549924D-D63C-4913-8343-C81C0B4E9AF4
video,hf_20260722_033205_dbb4b386-0a93-4fb2-add2-4f8abbf5e02c.mp4,hf_20260722_033205_dbb4b386-0a93-4fb2-add2-4f8abbf5e02c.mp4,hf_20260722_033205_dbb4b386-0a93-4fb2-add2-4f8abbf5e02c.mp4,legend,c318fdae2ee738658bf4e89778b36dd2.mp4,legend_hf,12.067,716,1284,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/c318fdae2ee738658bf4e89778b36dd2.mp4,94CA5144-B298-4291-906E-0DFE58824808
video,challenge_hold_for_shield.mp4,challenge_hold_for_shield.mp4,challenge_hold_for_shield.mp4,staged_C_pressure,c406a80ddfc5a38972e433384c0022d7.mp4,staged_kit,2.067,720,1280,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/c406a80ddfc5a38972e433384c0022d7.mp4,AE47958D-EE0B-4423-8EF6-6AA21F9C87CE
video,hf_20260722_180656_6cd309a4-5585-4bce-be92-dacb62838d73.mp4,hf_20260722_180656_6cd309a4-5585-4bce-be92-dacb62838d73.mp4,hf_20260722_180656_6cd309a4-5585-4bce-be92-dacb62838d73.mp4,legend,7c36b43951a151e0a994305e8c89b66d.mp4,legend_hf,4.067,784,1176,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/7c36b43951a151e0a994305e8c89b66d.mp4,0D37BAC2-6033-4468-9067-8580E6C01B5F
video,hf_20260722_180145_39d9caec-adc3-408b-bd8d-8562938f5a23.mp4,hf_20260722_180145_39d9caec-adc3-408b-bd8d-8562938f5a23.mp4,hf_20260722_180145_39d9caec-adc3-408b-bd8d-8562938f5a23.mp4,legend,8efb9989ea538399c7070db1982374fc.mp4,legend_hf,4.067,720,1280,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/8efb9989ea538399c7070db1982374fc.mp4,8BFA2219-3ED7-4507-9E5B-30714CA9E192
video,hf_20260722_180743_7444f0ec-98b3-462f-9877-dc4190a104e0.mp4,hf_20260722_180743_7444f0ec-98b3-462f-9877-dc4190a104e0.mp4,hf_20260722_180743_7444f0ec-98b3-462f-9877-dc4190a104e0.mp4,legend,4bc7151bfd1d13a8258434bfd55dac90.mp4,legend_hf,4.067,720,1280,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/4bc7151bfd1d13a8258434bfd55dac90.mp4,CFCBB9A6-1911-49BC-942B-C6F7B748D484
video,Village.mp4,Village.mp4,Village.mp4,staged_E_cliff_door,08b9fef2c5ba37da62c58f9e301daf4a.mp4,staged_kit,3.067,1264,720,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/08b9fef2c5ba37da62c58f9e301daf4a.mp4,3B29700C-C895-4364-AF21-344682D5F950
video,ballots.mp4,ballots.mp4,ballots.mp4,staged_E_cliff_door,b452d102029e70269ba314412fa53371.mp4,staged_kit,2.067,720,1280,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/b452d102029e70269ba314412fa53371.mp4,E6A5D321-F076-4136-BC7B-6F2B1FF70FF8
photo,ivan_leave_phaser.jpg,ivan_leave_phaser.jpg,ivan_leave_phaser.jpg,staged_F_phaser,f985e45ae099b082eefa305abfd8a0cf.jpg,staged_phaser,10800.0,992,1040,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/f985e45ae099b082eefa305abfd8a0cf.jpg,74F9F823-2074-4C92-87CB-6196EE112181
video,hf_20260722_181212_32030a6f-2158-4d31-bb14-3680c68392a2.mp4,hf_20260722_181212_32030a6f-2158-4d31-bb14-3680c68392a2.mp4,hf_20260722_181212_32030a6f-2158-4d31-bb14-3680c68392a2.mp4,legend,54f6305b7bb1c8b68f9033257b1261c0.mp4,legend_hf,4.067,784,1176,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/54f6305b7bb1c8b68f9033257b1261c0.mp4,3F5D171E-3D70-477E-B5DE-C5A3502AE849
video,hf_20260722_215402_d173dd7d-b468-402d-b3b0-df4cb632300e.mp4,hf_20260722_215402_d173dd7d-b468-402d-b3b0-df4cb632300e.mp4,hf_20260722_215402_d173dd7d-b468-402d-b3b0-df4cb632300e.mp4,legend,aedb3c5e531952d117340031d21c94c4.mp4,legend_hf,4.067,720,1280,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/aedb3c5e531952d117340031d21c94c4.mp4,80A35DA3-0C02-4F37-A445-00F3C8CC4794
video,hf_20260722_224930_b79c5195-4d80-496b-9254-260b9dcab667.mp4,hf_20260722_224930_b79c5195-4d80-496b-9254-260b9dcab667.mp4,hf_20260722_224930_b79c5195-4d80-496b-9254-260b9dcab667.mp4,legend,91ab6c3d639082ca2cf14c2570599cfd.mp4,legend_hf,4.067,720,1280,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/91ab6c3d639082ca2cf14c2570599cfd.mp4,E8D1430A-2172-4EBF-A298-9654D75D2560
video,hf_20260708_015857_9a406841-b4e2-4dd6-9a1e-4243d8f5b282 2.MP4,hf_20260708_015857_9a406841-b4e2-4dd6-9a1e-4243d8f5b282 2.MP4,hf_20260708_015857_9a406841-b4e2-4dd6-9a1e-4243d8f5b282 2.MP4,legend,bc5766938f535beb4665369006eb0799.MP4,legend_hf,5.067,1072,1928,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/bc5766938f535beb4665369006eb0799.MP4,5FF7A547-1670-4208-A4D6-8463818238DB
video,hf_20260722_225047_3d0ced5c-c8db-4b60-b39d-59fbaf7bb889.mp4,hf_20260722_225047_3d0ced5c-c8db-4b60-b39d-59fbaf7bb889.mp4,hf_20260722_225047_3d0ced5c-c8db-4b60-b39d-59fbaf7bb889.mp4,legend,a9cacec862fd0eb78dd269431ac87c28.mp4,legend_hf,4.067,720,1280,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/a9cacec862fd0eb78dd269431ac87c28.mp4,9DBE0A2B-5D39-4C5B-A787-34341B89EAF2
