start_tc,end_tc,start_s,end_s,track_index,display_name,material_name,resolved_filename,basename,source_class,media_kind,speed,volume,scale_x,alpha,extra_refs,path,material_id
0:00.000,0:23.733,0.0,23.733,0,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,ecf58f0535685422aff9ab6270e5acbb.png,legend_still,photo,1.0,1.0,2.2103013113002015,0.71,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/ecf58f0535685422aff9ab6270e5acbb.png,01072997-B52C-48D1-8F29-9C8198874F8C
0:00.000,0:01.000,0.0,1.0,1,ivan_face.png,42c86639-8f93-4f97-a541-8cd5baf2fea8.png,ivan_face.png,82e6eb3930a2880ce515767d8a25001d.png,staged_kit,photo,1.0,1.0,1.0,0.68,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/82e6eb3930a2880ce515767d8a25001d.png,F5A2F876-3075-44F2-BBB5-8A36BE12C191
0:00.000,0:01.000,0.0,1.0,7,A6FEF219-C756-4B3D-B0B1-A19F7A436019.PNG,A6FEF219-C756-4B3D-B0B1-A19F7A436019.PNG,A6FEF219-C756-4B3D-B0B1-A19F7A436019.PNG,3ef077c5b920e52972392e39b6515748.PNG,legend_still,photo,1.0,1.0,0.6628755863044142,0.44,speeds:speed | transitions:Blue Scan | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/3ef077c5b920e52972392e39b6515748.PNG,1AA2EE86-7A37-45E2-91C1-8BCDF1C3A979
0:01.000,0:03.133,1.0,3.133,7,group_photo.png,group_photo.png,group_photo.png,bf4eb6df4b4ac56aae3fede177f3378f.png,staged_kit,photo,1.0,1.0,1.0766692708333336,1.0,speeds:speed | transitions:Scan Modeling | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/bf4eb6df4b4ac56aae3fede177f3378f.png,8D466AAD-61ED-4C18-861D-E54EBA5A5AE2
0:01.933,0:03.267,1.933,3.267,9,F3EE7A0F-9754-4C2C-A19E-ABB85F901033.PNG,F3EE7A0F-9754-4C2C-A19E-ABB85F901033.PNG,F3EE7A0F-9754-4C2C-A19E-ABB85F901033.PNG,313d1aa5da3df5e2d173d103bd312da9.PNG,legend_still,photo,1.0,1.0,1.0,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/313d1aa5da3df5e2d173d103bd312da9.PNG,DBBEB713-4E22-40F4-B82E-9F4B8B5FE272
0:03.133,0:05.633,3.133,5.633,7,hf_20260721_180849_1bca4562-8648-4f59-9057-639cf31ae7aa.mp4,hf_20260721_180849_1bca4562-8648-4f59-9057-639cf31ae7aa.mp4,hf_20260721_180849_1bca4562-8648-4f59-9057-639cf31ae7aa.mp4,f5a6fcee151fcb2af3a7811c10a9ff5d.mp4,legend_hf,video,1.6266664,1.0,1.0,0.62,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/f5a6fcee151fcb2af3a7811c10a9ff5d.mp4,4D30EC99-467A-4603-B3E7-505496F83473
0:05.633,0:09.133,5.633,9.133,1,BD21D20E-C654-46F0-B35F-317407F4313E.PNG,BD21D20E-C654-46F0-B35F-317407F4313E.PNG,BD21D20E-C654-46F0-B35F-317407F4313E.PNG,d994fc6158a7eccaeeb3f185f40d06dd.PNG,legend_still,photo,1.0,1.0,0.5434975985331669,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/d994fc6158a7eccaeeb3f185f40d06dd.PNG,6CB3BBE8-EF2F-4BFA-A9C0-FF8E93E8B376
0:05.633,0:09.133,5.633,9.133,7,signature_flyover.mp4,signature_flyover.mp4,signature_flyover.mp4,2406c2e2063ede312de176b41ab0a861.mp4,staged_phaser,video,2.88,0.0,1.7207643229166665,0.51,speeds:speed | transitions:Scan Modeling | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/2406c2e2063ede312de176b41ab0a861.mp4,919A111D-E97C-495A-AD29-F7CCDB151EDD
0:05.633,0:09.133,5.633,9.133,9,81812E74-D0C7-4122-B014-A03C89E83C29.PNG,81812E74-D0C7-4122-B014-A03C89E83C29.PNG,81812E74-D0C7-4122-B014-A03C89E83C29.PNG,894deae6a31a2faec9981d0a30f4347e.PNG,legend_still,photo,1.0,1.0,0.5071036682951471,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/894deae6a31a2faec9981d0a30f4347e.PNG,3ADAA3C6-F6BF-439A-AE6B-D29FDEF9CCAB
0:09.133,0:11.167,9.133,11.167,7,hf_20260707_234503_7bb94590-20a2-489c-afdb-5a2305e6c91a 2.MP4,hf_20260707_234503_7bb94590-20a2-489c-afdb-5a2305e6c91a 2.MP4,hf_20260707_234503_7bb94590-20a2-489c-afdb-5a2305e6c91a 2.MP4,3cee6f8169fbf8d59e33dfe607ced261.MP4,legend_hf,video,1.51,1.0,1.0,0.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/3cee6f8169fbf8d59e33dfe607ced261.MP4,63F200C0-904C-4B08-BBDD-640DB06C5B73
