start_tc,end_tc,start_s,end_s,track_index,track_type,seg_index,material_name,display_name,basename,source_class,speed,volume,scale_x,alpha,extra_refs,material_id,start_us,duration_us
0:00.000,0:23.733,0.0,23.733,0,video,0,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,legend_still,1.0,1.0,2.2103013113002015,0.71,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,01072997-B52C-48D1-8F29-9C8198874F8C,0,23733333
0:00.000,0:01.000,0.0,1.0,1,video,0,ivan_face.png,ivan_face.png,ivan_face.png,staged_kit,1.0,1.0,1.0,0.68,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,F5A2F876-3075-44F2-BBB5-8A36BE12C191,0,1000000
0:00.000,0:01.000,0.0,1.0,4,effect,0,Blu-ray Scanning,Blu-ray Scanning,,effect,1.0,1.0,,,,81F9019B-C41F-4956-BECD-BF6BCA5615A6,0,1000000
0:00.000,0:01.000,0.0,1.0,7,video,0,A6FEF219-C756-4B3D-B0B1-A19F7A436019.PNG,A6FEF219-C756-4B3D-B0B1-A19F7A436019.PNG,A6FEF219-C756-4B3D-B0B1-A19F7A436019.PNG,legend_still,1.0,1.0,0.6628755863044142,0.44,speeds:speed | transitions:Blue Scan | canvases:canvas_color | material_animations:sticker_animation,1AA2EE86-7A37-45E2-91C1-8BCDF1C3A979,0,1000000
0:00.000,0:01.933,0.0,1.933,17,audio,0,Digital Device Gadget Scanning Programming Sound2,Digital Device Gadget Scanning Programming Sound2,6f3ed3a2c7e2ca773168c3140c7d06ce.mp3,capcut_stock,1.0,0.33987903594970703,,,speeds:speed | audio_fades:audio_fade,C1353F99-0D07-4E53-B8AA-C0E95BC4674B,0,1933333
0:00.900,0:01.900,0.9,1.9,12,text,0,THESE ARE,THESE ARE,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,D12A14AC-D4CD-4A07-AE8A-94748AD6D64C,900000,1000000
0:00.900,0:08.600,0.9,8.6,16,audio,0,v6_narration.mp3,v6_narration.mp3,v6_narration.mp3,staged_audio,1.01,1.0,,,speeds:speed,9DDA24A2-07B7-4B62-9049-21E884BF92C0,900000,7700000
0:01.000,0:03.133,1.0,3.133,7,video,1,group_photo.png,group_photo.png,group_photo.png,staged_kit,1.0,1.0,1.0766692708333336,1.0,speeds:speed | transitions:Scan Modeling | canvases:canvas_color | material_animations:sticker_animation,8D466AAD-61ED-4C18-861D-E54EBA5A5AE2,1000000,2133333
0:01.933,0:03.267,1.933,3.267,9,video,0,F3EE7A0F-9754-4C2C-A19E-ABB85F901033.PNG,F3EE7A0F-9754-4C2C-A19E-ABB85F901033.PNG,F3EE7A0F-9754-4C2C-A19E-ABB85F901033.PNG,legend_still,1.0,1.0,1.0,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,DBBEB713-4E22-40F4-B82E-9F4B8B5FE272,1933333,1333333
0:01.933,0:16.367,1.933,16.367,19,audio,0,music_drama.mp3,music_drama.mp3,music_drama.mp3,staged_audio,1.0,0.21411876380443573,,,speeds:speed,DDB9B92B-B435-467A-BBCC-6C3763BE30C3,1933333,14433333
0:02.800,0:04.300,2.8,4.3,12,text,1,AI VERSIONS OF,AI VERSIONS OF,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,45292B43-BCB0-4476-B38D-2E759CA230C0,2800000,1500000
0:03.133,0:05.633,3.133,5.633,7,video,2,hf_20260721_180849_1bca4562-8648-4f59-9057-639cf31ae7aa.mp4,hf_20260721_180849_1bca4562-8648-4f59-9057-639cf31ae7aa.mp4,hf_20260721_180849_1bca4562-8648-4f59-9057-639cf31ae7aa.mp4,legend_hf,1.6266664,1.0,1.0,0.62,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,4D30EC99-467A-4603-B3E7-505496F83473,3133333,2500000
0:04.300,0:05.400,4.3,5.4,12,text,2,REAL PEOPLE,REAL PEOPLE,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,7FF3DC82-04DB-4A75-B7D3-BA7613D1BC0B,4300000,1100000
0:05.400,0:06.900,5.4,6.9,12,text,3,MAKING CHOICES,MAKING CHOICES,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,CBF1653D-CC98-4D5D-8DBD-EA436AA9B82C,5400000,1500000
0:05.633,0:09.133,5.633,9.133,1,video,1,BD21D20E-C654-46F0-B35F-317407F4313E.PNG,BD21D20E-C654-46F0-B35F-317407F4313E.PNG,BD21D20E-C654-46F0-B35F-317407F4313E.PNG,legend_still,1.0,1.0,0.5434975985331669,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,6CB3BBE8-EF2F-4BFA-A9C0-FF8E93E8B376,5633333,3500000
0:05.633,0:09.133,5.633,9.133,7,video,3,signature_flyover.mp4,signature_flyover.mp4,signature_flyover.mp4,staged_phaser,2.88,0.0,1.7207643229166665,0.51,speeds:speed | transitions:Scan Modeling | canvases:canvas_color | material_animations:sticker_animation,919A111D-E97C-495A-AD29-F7CCDB151EDD,5633333,3500000
0:05.633,0:09.133,5.633,9.133,9,video,1,81812E74-D0C7-4122-B014-A03C89E83C29.PNG,81812E74-D0C7-4122-B014-A03C89E83C29.PNG,81812E74-D0C7-4122-B014-A03C89E83C29.PNG,legend_still,1.0,1.0,0.5071036682951471,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,3ADAA3C6-F6BF-439A-AE6B-D29FDEF9CCAB,5633333,3500000
0:06.900,0:07.600,6.9,7.6,12,text,4,NO ONE WROTE FOR THEM,NO ONE WROTE FOR THEM,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,AFD97C2A-2861-4521-A1D4-4D7C8C9CB85C,6900000,700000
0:07.600,0:09.033,7.6,9.033,12,text,5,WROTE FOR THEM,WROTE FOR THEM,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,DCD1A408-A08D-4DE4-81CB-BF4E9530C6BB,7600000,1433333
