start_tc,end_tc,start_s,end_s,text,template_name,font_size,font_name,text_color,track_index,extra_refs,material_id,start_us,duration_us
0:00.900,0:01.900,0.9,1.9,THESE ARE,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,D12A14AC-D4CD-4A07-AE8A-94748AD6D64C,900000,1000000
0:02.800,0:04.300,2.8,4.3,AI VERSIONS OF,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,45292B43-BCB0-4476-B38D-2E759CA230C0,2800000,1500000
0:04.300,0:05.400,4.3,5.4,REAL PEOPLE,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,7FF3DC82-04DB-4A75-B7D3-BA7613D1BC0B,4300000,1100000
0:05.400,0:06.900,5.4,6.9,MAKING CHOICES,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,CBF1653D-CC98-4D5D-8DBD-EA436AA9B82C,5400000,1500000
0:06.900,0:07.600,6.9,7.6,NO ONE WROTE FOR THEM,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,AFD97C2A-2861-4521-A1D4-4D7C8C9CB85C,6900000,700000
0:07.600,0:09.033,7.6,9.033,WROTE FOR THEM,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,DCD1A408-A08D-4DE4-81CB-BF4E9530C6BB,7600000,1433333
0:09.133,0:10.500,9.133,10.5,FIFTEEN OF THEM ENTERED,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,F1F325FB-2197-42F2-B411-8BCFFC601FE7,9133333,1366667
0:12.300,0:12.767,12.3,12.767,SOMEONE IS VOTED OUT,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,6DBDB6CC-2B95-4D80-B5AC-F19253F4BD3D,12300000,466666
0:12.767,0:13.800,12.767,13.8,IS VOTED OUT,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,6F1137A3-F946-43D3-BAFD-25772DED410F,12766666,1033334
0:13.800,0:14.833,13.8,14.833,EVERY NIGHT,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,C5C7AFE3-96B6-4F7C-AC5A-16007C9071D9,13800000,1033333
0:14.833,0:16.367,14.833,16.367,UNTIL ONE REMAINS,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,BC5C5D13-307F-4CC5-9442-9172637F045F,14833333,1533333
0:16.467,0:18.033,16.467,18.033,TODAY WE'RE FOLLOWING,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,02E43F1A-4281-4AA8-A771-DAD7B4FF9154,16466666,1566667
0:20.300,0:22.100,20.3,22.1,IRENE GOES HARD FOR COVER,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,74C620B6-DF77-4849-AE16-F518E17B4DBE,20300000,1800000
0:23.567,0:25.067,23.567,25.067,IVAN WATCHES PEOPLE,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,1929ABE8-20ED-4217-A4E3-5AC09A271049,23566666,1500000
0:25.067,0:26.167,25.067,26.167,BEFORE HE BETS,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,414424F0-3A28-49FC-A2C2-6782BE4737E3,25066666,1100000
0:29.433,0:30.633,29.433,30.633,AT 11:00AM,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,4D897B6C-6B50-42B9-9211-C647CB3FBC5D,29433333,1200000
0:30.633,0:32.933,30.633,32.933,A DAILY CHALLENGE BEGINS,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,1CE94415-A07D-4F56-9B0C-C7A8CA5E3E10,30633333,2300000
0:34.767,0:37.533,34.767,37.533,EACH DOUBLE GETS A SECRET CARD,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,88877AB0-F707-460A-B6A2-FF459F1D8583,34766666,2766667
0:37.667,0:39.433,37.667,39.433,HOLD TO STAY IN THE FIGHT,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,35836E28-0822-43DC-B084-98763168E983,37666666,1766667
0:39.433,0:41.267,39.433,41.267,OR FOLD AND SIT OUT,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,3180E64E-2995-4C17-99C8-0D46E7D6EB7D,39433333,1833333
0:41.633,0:43.000,41.633,43.0,HIGHEST CARD REMAINING,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,850A5377-EF55-4192-A937-D20BFEBAE123,41633333,1366667
0:43.000,0:44.267,43.0,44.267,WINS THE SHIELD,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,C776A5BB-C2E7-4D0F-B65D-EA73959CBD38,43000000,1266666
0:44.467,0:44.767,44.467,44.767,AND IMMUNITY,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,5A9DBDAE-F478-45DE-B2AC-0957728FBDD1,44466666,300000
0:44.767,0:46.467,44.767,46.467,FROM TONIGHT'S VOTE,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,E5948D60-34A0-47F7-ADEB-D8619D180604,44766666,1700000
0:46.467,0:48.533,46.467,48.533,IRENE GOT THE HIGHEST CARD,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,6AC245A2-0D17-439C-AFEC-6646725E5FFD,46466666,2066667
0:48.933,0:50.300,48.933,50.3,SHE WINS THE SHIELD,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,34E3C3CA-3F7E-4B3B-9723-11078D486438,48933333,1366667
0:50.300,0:51.700,50.3,51.7,AND IS SAFE TONIGHT,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,8394971E-3724-455B-9899-8D4F57DE52FA,50300000,1400000
0:51.700,0:53.300,51.7,53.3,AS THE DAY CONTINUES,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,3B3D5118-600A-4CCE-B3C8-164D1A651CC2,51700000,1600000
0:58.567,0:59.767,58.567,59.767,AT THE END OF THE DAY,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,57F6D8E7-96CB-4D32-A464-8770A082093B,58566666,1200000
0:59.767,1:02.067,59.767,62.067,EVERY DOUBLE CASTS A BALLOT,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,1F6BFBD1-8E40-4E9F-AB30-7F516E09D2BF,59766666,2300000
1:02.233,1:04.400,62.233,64.4,TONIGHT SIX VOTES LAND ON,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,8DFDE561-34D7-43AE-A177-D06E001C0746,62233333,2166667
1:04.400,1:05.433,64.4,65.433,IVAN PITS,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,1D02A391-7082-49A6-97E6-7D4491EBB6BB,64400000,1033333
1:05.900,1:08.000,65.9,68.0,IRENE'S BALLOT IS ONE OF THEM,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,61F98350-2E14-4ED5-B135-B8BCACA23A39,65900000,2100000
1:08.500,1:11.000,68.5,71.0,IVAN IS GONE,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,1D3BD574-62A6-4EAA-89A1-3A3002B11CAA,68500000,2500000
1:13.033,1:14.067,73.033,74.067,TOMORROW,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,BE89865A-7E60-4466-BB7A-2A676F24ABD0,73033333,1033333
1:14.067,1:15.833,74.067,75.833,THE SHIELD IS GONE,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,9F07E9E2-0C82-40EA-ACAD-5DF88AF651C1,74066666,1766667
1:15.833,1:18.033,75.833,78.033,NEW ALLIANCES WILL FORM,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,BDBDD260-E2A6-45FE-A31E-F496323A4C81,75833333,2200000
1:18.300,1:19.700,78.3,79.7,NEW TARGETS WILL EMERGE,向上渐显 微发光,11.92708333333332,none,#ffffffff,12,material_animations:sticker_animation | effects:7360971191827304961,4B29A949-3C1A-4F6F-BFC0-2C46E1C10490,78300000,1400000
