filename,used_in_capcut,use_count,mb
22F06DF6-E91F-4F98-9A12-B7CB1BE8A142.PNG,True,1,0.75
2571CF95-C752-413E-B0D1-70D8A9232D60.PNG,False,0,2.25
2C03C154-F2C4-4558-9FEE-E8DA7D8D896E.PNG,True,1,2.14
60E3F4BE-CFB9-44F1-BF2B-472FF6073F78.jpg,False,0,0.08
6293D2AC-D429-45CF-8334-7EE82DBDD29C.jpg,False,0,0.07
648FD450-3CA8-4DB0-A398-CBCC1C3436D9.PNG,True,1,1.72
81812E74-D0C7-4122-B014-A03C89E83C29.PNG,True,1,2.12
8A0C4969-AA3E-467D-A5F6-9629E2DABF3C.PNG,True,1,2.41
9290B06D-5B1B-4F0C-9EF2-C20BBE2E1D33.PNG,True,1,2.04
94FF59B2-04B0-4AD5-8DFD-FF8A1BC984F5 2.PNG,False,0,2.15
94FF59B2-04B0-4AD5-8DFD-FF8A1BC984F5 3.PNG,False,0,2.15
A62E65DB-9C24-48C9-9155-AC75D9BCAB3A.PNG,True,1,2.29
A6FEF219-C756-4B3D-B0B1-A19F7A436019.PNG,True,1,2.15
A9AF9451-8517-4889-8FCE-B225B77A95FC.PNG,True,1,1.51
B1B40450-11F2-497D-AA63-BE33285A0C33.PNG,True,1,2.13
B604EDFB-6058-4236-BB11-8368131FD45A.PNG,True,1,3.03
BD21D20E-C654-46F0-B35F-317407F4313E.PNG,True,1,2.14
C126101E-9860-4276-BA11-56E05319E50D.PNG,False,0,2.07
C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,True,4,2.46
cinematic_flyover_village_dusk_wind_down.MP4,False,0,3.98
D3AE994C-50EA-4F7A-9979-216CAEB319CB.PNG,False,0,2.29
D7AF15A5-3171-428E-9408-6135AA533103.PNG,True,2,1.35
ECDC03D9-18FE-47D7-A5B7-6258DD90332A.jpg,False,0,0.06
F3EE7A0F-9754-4C2C-A19E-ABB85F901033.PNG,True,1,2.12
F5655AC9-AF6C-4979-96DB-E1F6061EF2BC 2.jpg,False,0,0.08
group_photo 2.PNG,False,0,0.23
hf_20260707_234016_8512f999-71e4-47f9-b11b-7c9a4109e3d6.mp4,False,0,16.99
hf_20260707_234503_7bb94590-20a2-489c-afdb-5a2305e6c91a 2.MP4,True,1,4.43
hf_20260708_015857_9a406841-b4e2-4dd6-9a1e-4243d8f5b282 2.MP4,True,1,11.09
hf_20260721_180849_1bca4562-8648-4f59-9057-639cf31ae7aa.mp4,True,1,4.59
hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,True,3,3.58
hf_20260721_213332_a8ad8e8d-3160-41a8-be5c-4578f6ccc2bb.mp4,True,1,6.45
hf_20260721_213451_2bc1bd7a-cd39-4d44-b256-5c9a451bd4a3.mp4,True,1,7.14
hf_20260722_025127_e78204e8-848f-4cd2-a888-3070cc2b7364.mp4,False,0,1.84
hf_20260722_030045_0f43461d-dd95-466f-99cb-039f7524b224.mp4,False,0,3.8
hf_20260722_033205_dbb4b386-0a93-4fb2-add2-4f8abbf5e02c.mp4,True,1,9.71
hf_20260722_180145_39d9caec-adc3-408b-bd8d-8562938f5a23.mp4,True,1,4.84
hf_20260722_180656_6cd309a4-5585-4bce-be92-dacb62838d73.mp4,True,1,3.22
hf_20260722_180743_7444f0ec-98b3-462f-9877-dc4190a104e0.mp4,True,1,9.07
hf_20260722_181212_32030a6f-2158-4d31-bb14-3680c68392a2.mp4,True,1,3.81
hf_20260722_215402_d173dd7d-b468-402d-b3b0-df4cb632300e.mp4,True,1,4.44
hf_20260722_224930_b79c5195-4d80-496b-9254-260b9dcab667.mp4,True,1,5.07
hf_20260722_225047_3d0ced5c-c8db-4b60-b39d-59fbaf7bb889.mp4,True,1,4.24
hf_20260722_230056_75260568-f1c8-4c85-ac18-5dfd29b58798.mp4,True,1,4.25
hf_20260722_230756_90488b12-a80b-4f14-85e0-5f6398983f8a.mp4,True,1,6.23
IMG_4873.jpg,False,0,0.67
Screenshot 2026-07-20 at 9.20.16 PM.png,True,3,0.07
