section_id,submoment_id,start_sec,end_sec,label
0,0.1,0.000,0.050,Poster / first frame
1,1.1,0.050,0.900,Hook — second chance
1,1.2,0.900,1.533,Hook — second chance
1,1.3,1.533,2.333,Hook — second chance
1,1.4,2.333,3.133,Hook — second chance
1,1.5,3.133,4.200,Hook — second chance
2,2.1,4.200,4.800,Hook — hard conversation
2,2.2,4.800,5.533,Hook — hard conversation
2,2.3,5.533,6.533,Hook — hard conversation
2,2.4,6.533,7.467,Hook — hard conversation
2,2.5,7.467,8.600,Hook — hard conversation
3,3.1,8.600,9.400,Hook — Double tease
3,3.2,9.400,10.300,Hook — Double tease
3,3.3,10.300,10.800,Hook — Double tease
4,4.1,10.800,12.600,Concept / poster
4,4.2,12.600,14.200,Concept / poster
4,4.3,14.200,15.900,Concept / poster
4,4.4,15.900,18.500,Concept / poster
4,4.5,18.500,19.467,Concept / poster
5,5.1,19.467,20.100,World — create Double
5,5.2,20.100,21.400,World — create Double
5,5.3,21.400,23.467,World — create Double
5,5.4,23.467,24.033,World — create Double
6,6.1,24.033,25.400,World — watch live
6,6.2,25.400,27.167,World — watch live
7,7.1,27.167,28.633,World — every conversation
7,7.2,28.633,30.000,World — every choice
7,7.3,30.000,31.767,World — every relationship
8,8.1,31.767,33.000,Season — Survival Mode
8,8.2,33.000,34.000,Season — Survival Mode
8,8.3,34.000,35.033,Season — Survival Mode
8,8.4,35.033,36.833,Season — Survival Mode
8,8.5,36.833,38.300,Season — Survival Mode
8,8.6,38.300,39.900,Season — Survival Mode
8,8.7,39.900,41.433,Season — Survival Mode
9,9.1,41.433,42.100,Cast — Gosha
9,9.2,42.100,43.200,Cast — Gosha
10,10.1,43.200,43.900,Cast — Ivan selection
10,10.2,43.900,45.733,Cast — Ivan
11,11.1,45.733,46.300,Cast — Katya selection
11,11.2,46.300,48.333,Cast — Katya
12,12.1,48.333,49.133,Cast — Lyuba selection
12,12.2,49.133,50.200,Cast — Lyuba: calm
12,12.3,50.200,52.533,Cast — Lyuba: underestimated
13,13.1,52.533,53.067,Pressure — transition
13,13.2,53.067,54.400,Pressure — low
13,13.3,54.400,55.900,Pressure — critical
13,13.4,55.900,57.000,Pressure — change line
14,14.1,57.000,58.300,Pressure — relationships
14,14.2,58.300,59.400,Pressure — game consequence
14,14.3,59.400,60.900,Pressure — URL bridge
15,15.1,60.900,61.533,Live / replay — live
15,15.2,61.533,63.000,Live / replay — day/night proof
15,15.3,63.000,64.400,Live / replay — follow
15,15.4,64.400,66.433,Live / replay — replay
16,16.1,66.433,67.267,Turn — not just avatars
16,16.2,67.267,68.167,Turn — not just avatars
17,17.1,68.167,69.167,Turn — learn
17,17.2,69.167,70.000,Turn — change
17,17.3,70.000,71.667,Turn — surprise
18,18.1,71.667,72.733,End card — reflection setup
18,18.2,72.733,73.800,End card — question lead-in
18,18.3,73.800,75.300,End card — final question
18,18.4,75.300,76.000,End card — URL takeover
18,18.5,76.000,76.578,End card — final hold
